"","topDirector","topActor","CastGenderAVG","budget","popularity","revenue","runtime","vote_average","vote_count","holiday_month","num_lang","original_isEnglish","country_USA","country_UK","country_Germany","country_France","country_Canada","country_Austr","genre_Action","genre_Adventure","genre_Fantasy","genre_Science Fiction","genre_Crime","genre_Drama","genre_Thriller","genre_Animation","genre_Family","genre_Western","genre_Comedy","genre_Romance","genre_Horror","genre_Mystery","genre_History","genre_War","genre_Music","genre_Documentary","genre_Foreign","genre_TV Movie"
"32",1,1,1.77777777777778,200000000,77.68208,1215439994,130,6.8,8806,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",0,1,1.51515151515152,200000000,78.530105,1025491110,108,6.4,4645,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"34",0,0,1.6551724137931,210000000,3.857526,459359555,104,6.3,3525,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",0,1,1.72727272727273,200000000,89.186492,743559607,104,7,3528,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"36",0,0,1.80645161290323,150000000,21.939663,836297228,150,6,3138,1,2,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",0,1,1.8125,210000000,116.840296,1091405097,165,5.8,3095,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",0,1,1.3125,200000000,46.985445,491868548,130,5.7,3530,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"39",0,1,1.82539682539683,200000000,89.270217,705717432,142,6.5,4179,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0,1,1.7,170000000,73.79505,400062763,125,6.3,2841,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",0,1,1.8125,200000000,49.98659,559852396,106,5.8,2033,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"42",0,1,1.7,200000000,51.872839,219851172,114,5.1,2487,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",0,1,1.71428571428571,200000000,59.995418,1066969703,103,7.6,4597,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"44",0,1,1.61538461538462,200000000,71.862892,371353001,115,5.9,2463,1,2,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",1,0,1.64516129032258,190000000,102.322217,1506249360,137,7.3,4176,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",0,0,1.70588235294118,200000000,81.834855,531865000,116,6.7,5560,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"47",0,1,1.83333333333333,250000000,118.078691,747862775,131,7.5,6032,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",1,1,1.76923076923077,190000000,78.291018,467365246,132,7.4,4418,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",0,0,1.875,195000000,43.349855,197687603,114,5.5,2598,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"50",0,1,1.8,105000000,61.196071,351040419,143,7.3,3769,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"51",0,1,1.88888888888889,150000000,62.169881,335154643,116,6.2,2317,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"52",1,1,1.96296296296296,180000000,56.523205,407602906,131,6.7,4794,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",0,0,1.88235294117647,195000000,28.529607,1123746996,154,6.1,3299,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",1,1,1.88888888888889,185000000,75.674458,786636033,122,5.7,2495,1,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
